id,y,x
1,5335907.501,691021.349
1,5335906.763,691023.171
1,5335912.962,691023.467
1,5335912.211,691025.276
2,5335913.196,691023.565
2,5335912.765,691025.547
2,5335919.831,691026.15
2,5335919.068,691028.022
3,5335920.04,691026.261
3,5335919.289,691028.095
3,5335924.878,691028.108
3,5335924.189,691030.016
4,5335924.989,691028.182
4,5335924.312,691030.077
4,5335929.174,691029.843
4,5335928.571,691031.764
5,5335929.297,691029.88
5,5335928.706,691031.801
5,5335934.578,691031.936
5,5335933.926,691033.844
6,5335934.689,691032.01
6,5335934.073,691033.869
6,5335939.409,691033.93
6,5335938.665,691035.654
7,5335939.588,691033.893
7,5335938.788,691035.715
7,5335944.456,691035.801
7,5335943.766,691037.722
8,5335944.648,691035.863
8,5335943.983,691037.722
8,5335949.252,691037.617
8,5335948.427,691039.464
9,5335949.449,691037.74
9,5335948.624,691039.574
9,5335952.92,691039.082
9,5335952.206,691040.99
10,5335953.08,691039.193
10,5335952.391,691041.052
10,5335955.998,691042.443
10,5335956.588,691040.522
11,5335956.773,691040.621
11,5335961.032,691042.27
11,5335960.318,691044.178
11,5335956.158,691042.48
12,5335961.163,691042.329
12,5335964.935,691043.809
12,5335964.479,691045.766
12,5335960.491,691044.215
13,5335965.131,691043.895
13,5335969.071,691045.483
13,5335968.652,691047.391
13,5335964.627,691045.779
14,5335973.416,691047.12
14,5335969.329,691045.557
14,5335968.812,691047.49
14,5335972.751,691049.041
15,5335979.382,691049.419
15,5335983.051,691050.822
15,5335982.627,691052.589
15,5335978.939,691051.216
16,5335983.267,691050.915
16,5335987.507,691052.57
16,5335986.923,691054.337
16,5335982.775,691052.712
17,5335987.81,691052.688
17,5335992.512,691054.509
17,5335991.946,691056.27
17,5335987.169,691054.448
18,5335992.709,691054.645
18,5335997.448,691056.442
18,5335997.03,691058.264
18,5335992.155,691056.368
19,5336001.646,691060.129
19,5336002.319,691058.418
19,5336001.646,691060.129
19,5335997.153,691058.35
20,5336002.786,691058.418
20,5336007.341,691060.24
20,5336006.594,691062.123
20,5336002.003,691060.252
21,5336007.834,691060.56
21,5336012.241,691062.135
21,5336011.543,691064.068
21,5336007.013,691062.32
22,5336012.659,691062.455
22,5336016.369,691063.797
22,5336015.969,691065.798
22,5336011.888,691064.216
23,5336016.689,691064
23,5336020.788,691065.644
23,5336020.012,691067.416
23,5336016.135,691065.853
24,5336021.054,691065.754
24,5336025.166,691067.256
24,5336024.604,691069.201
24,5336020.222,691067.49
25,5336025.663,691067.515
25,5336030.238,691069.349
25,5336029.786,691071.294
25,5336024.949,691069.411
26,5336031.038,691069.792
26,5336035.215,691071.245
26,5336034.834,691073.239
26,5336030.193,691071.43
27,5336035.437,691071.368
27,5336038.884,691072.709
27,5336038.15,691074.581
27,5336034.981,691073.362
28,5336046.881,691075.664
28,5336050.184,691077.141
28,5336049.593,691079.136
28,5336045.945,691077.732
29,5336050.393,691077.24
29,5336053.729,691078.532
29,5336053.138,691080.514
29,5336049.815,691079.185
30,5336053.902,691078.619
30,5336057.115,691079.886
30,5336056.585,691081.905
30,5336053.372,691080.6
31,5336057.373,691079.997
31,5336061.788,691081.61
31,5336060.931,691083.518
31,5336056.93,691081.967
32,5336062.059,691081.868
32,5336065.658,691083.198
32,5336065.042,691085.167
32,5336061.165,691083.616
33,5336065.842,691083.309
33,5336068.682,691084.416
33,5336068.267,691086.386
33,5336065.338,691085.266
34,5336069.055,691084.54
34,5336071.8,691085.66
34,5336071.271,691087.531
34,5336068.477,691086.497
35,5336071.985,691085.795
35,5336075.259,691087.014
35,5336074.952,691089.008
35,5336071.661,691087.703
36,5336075.526,691087.112
36,5336078.431,691088.269
36,5336078.013,691090.14
36,5336075.136,691089.094
37,5336078.825,691088.442
37,5336082.829,691089.998
37,5336082.09,691091.789
37,5336078.349,691090.288
38,5336085.783,691091.198
38,5336085.235,691092.977
38,5336082.226,691091.832
39,5336085.894,691091.21
39,5336089.495,691092.607
39,5336088.904,691094.423
39,5336085.42,691093.087
40,5336089.63,691092.687
40,5336092.972,691093.986
40,5336092.4,691095.796
40,5336089.101,691094.485
41,5336093.151,691094.078
41,5336096.431,691095.331
41,5336096.031,691097.208
41,5336092.584,691095.876
42,5336096.708,691095.442
42,5336100.321,691096.876
42,5336100.032,691098.79
42,5336096.277,691097.307
43,5336100.512,691096.987
43,5336103.891,691098.298
43,5336103.417,691100.095
43,5336100.167,691098.802
44,5336104.039,691098.359
44,5336107.024,691099.553
44,5336106.519,691101.289
44,5336103.54,691100.144
45,5336107.166,691099.596
45,5336110.299,691100.815
45,5336109.745,691102.526
45,5336106.63,691101.338
46,5336110.403,691100.864
46,5336113.234,691101.96
46,5336112.65,691103.683
46,5336109.874,691102.612
47,5336113.339,691102.021
47,5336115.502,691102.85
47,5336114.811,691104.52
47,5336112.754,691103.702
48,5336062.841,691068.45
48,5336066.534,691069.942
48,5336066.152,691072.244
48,5336062.053,691070.641
49,5336066.644,691070.065
49,5336068.805,691070.871
49,5336068.515,691073.124
49,5336066.287,691072.293
50,5336068.94,691070.92
50,5336071.636,691072.016
50,5336071.31,691074.232
50,5336068.589,691073.198
51,5336071.808,691072.09
51,5336074.486,691073.136
51,5336073.932,691075.266
51,5336071.408,691074.268
52,5336074.603,691073.167
52,5336078.314,691074.656
52,5336077.465,691076.624
52,5336074.098,691075.303
53,5336078.597,691074.758
53,5336082.807,691076.476
53,5336082.266,691078.569
53,5336078.314,691076.943
54,5336083.398,691076.673
54,5336088.273,691078.544
54,5336087.756,691080.736
54,5336083.029,691079.086
55,5336089.184,691079.086
55,5336094.234,691080.947
55,5336093.418,691082.902
55,5336088.839,691081.154
56,5336094.526,691081.056
56,5336099.53,691083.064
56,5336098.724,691084.883
56,5336093.96,691083.271
57,5336099.786,691083.169
57,5336104.784,691085.163
57,5336104.304,691087.022
57,5336099.035,691084.994
58,5336104.965,691085.241
58,5336110.579,691087.334
58,5336110.037,691089.156
58,5336104.759,691087.182
59,5336111.194,691087.826
59,5336115.281,691089.353
59,5336114.567,691091.174
59,5336110.677,691089.648
60,5336115.773,691089.426
60,5336121.141,691091.593
60,5336120.55,691093.44
60,5336115.109,691091.544
61,5336129.265,691087.974
61,5336130.865,691083.655
61,5336132.86,691084.221
61,5336131.333,691088.614
62,5336132.54,691079.285
62,5336130.988,691083.458
62,5336134.337,691079.986
62,5336132.983,691084.012
63,5336132.589,691079.125
63,5336134.218,691074.708
